2015-01-11 03	3.22, 12.44, 1.54, 15274.00
2015-01-11 04	3.62, 13.57, 1.44, 8943.00
2015-01-11 05	4.80, 16.63, 1.73, 4036.00
2015-01-11 06	4.90, 16.84, 1.99, 4174.00
2015-01-11 07	3.92, 13.88, 1.65, 5816.00
2015-01-11 08	2.91, 11.22, 1.38, 9165.00
2015-01-11 09	2.65, 10.48, 1.31, 13808.00
2015-01-11 10	2.62, 10.61, 1.32, 18480.00
2015-01-11 11	2.50, 10.50, 1.33, 22110.00
2015-01-11 12	2.52, 10.75, 1.37, 24285.00
2015-01-11 13	2.64, 11.25, 1.43, 24336.00
2015-01-11 14	2.89, 12.07, 1.53, 22635.00
2015-01-11 15	3.04, 12.49, 1.56, 21937.00
2015-01-11 16	3.11, 12.63, 1.65, 22216.00
2015-01-11 17	2.97, 12.18, 1.56, 23176.00
2015-01-11 18	2.86, 11.77, 1.52, 22969.00
2015-01-11 19	2.95, 11.78, 1.56, 21059.00
2015-01-11 20	3.20, 12.33, 1.65, 17355.00
2015-01-11 21	3.38, 12.73, 1.72, 16314.00
2015-01-11 22	3.61, 13.27, 1.76, 14489.00
2015-01-11 23	3.89, 13.94, 1.85, 12795.00
2015-01-12 00	4.30, 15.02, 1.88, 7691.00
2015-01-12 01	3.87, 14.34, 1.63, 4265.00
2015-01-12 02	3.70, 13.36, 1.30, 3040.00
2015-01-12 03	4.16, 14.83, 1.48, 2295.00
2015-01-12 04	4.82, 16.81, 1.94, 2319.00
2015-01-12 05	4.91, 16.72, 2.29, 4281.00
2015-01-12 06	3.26, 12.24, 1.59, 11556.00
2015-01-12 07	2.70, 11.39, 1.53, 20218.00
2015-01-12 08	2.44, 11.90, 1.62, 24227.00
2015-01-12 09	2.37, 11.82, 1.60, 22719.00
2015-01-12 10	2.42, 11.66, 1.51, 19871.00
2015-01-12 11	2.55, 11.81, 1.51, 19553.00
2015-01-12 12	2.44, 11.53, 1.45, 20790.00
2015-01-12 13	2.41, 11.31, 1.40, 20182.00
2015-01-12 14	2.61, 11.93, 1.48, 21747.00
2015-01-12 15	2.71, 12.18, 1.51, 21430.00
2015-01-12 16	2.72, 12.11, 1.60, 18041.00
2015-01-12 17	2.66, 11.88, 1.63, 21610.00
2015-01-12 18	2.54, 11.37, 1.64, 26327.00
2015-01-12 19	2.60, 10.96, 1.61, 25520.00
2015-01-12 20	2.94, 11.58, 1.73, 23628.00
2015-01-12 21	3.12, 12.12, 1.82, 22215.00
2015-01-12 22	3.23, 12.30, 1.81, 19296.00
2015-01-12 23	3.48, 12.91, 1.80, 13546.00
2015-01-13 00	3.42, 12.66, 1.76, 11061.00
2015-01-13 01	3.30, 12.47, 1.49, 5511.00
2015-01-13 02	3.51, 12.84, 1.42, 3448.00
2015-01-13 03	3.61, 13.27, 1.31, 2160.00
2015-01-13 04	4.41, 15.42, 1.76, 2251.00
2015-01-13 05	4.09, 14.35, 1.90, 4113.00
2015-01-13 06	3.01, 11.51, 1.52, 11627.00
2015-01-13 07	2.63, 11.31, 1.52, 21863.00
2015-01-13 08	2.34, 11.61, 1.64, 26062.00
2015-01-13 09	2.31, 11.85, 1.65, 24479.00
2015-01-13 10	2.36, 11.91, 1.60, 21986.00
2015-01-13 11	2.36, 11.85, 1.56, 22052.00
2015-01-13 12	2.41, 12.03, 1.55, 22747.00
2015-01-13 13	2.54, 12.19, 1.58, 21910.00
2015-01-13 14	2.67, 12.61, 1.63, 24020.00
2015-01-13 15	2.68, 12.45, 1.62, 23270.00
2015-01-13 16	2.76, 12.33, 1.69, 18907.00
2015-01-13 17	2.50, 11.68, 1.63, 22734.00
2015-01-13 18	2.34, 11.10, 1.58, 28884.00
2015-01-13 19	2.48, 10.91, 1.62, 29790.00
2015-01-13 20	2.69, 11.17, 1.69, 29236.00
2015-01-13 21	2.90, 11.80, 1.79, 28619.00
2015-01-13 22	3.09, 12.26, 1.84, 24574.00
2015-01-13 23	3.23, 12.62, 1.80, 17213.00
2015-01-14 00	3.38, 12.90, 1.73, 11076.00
2015-01-14 01	3.32, 12.66, 1.58, 6499.00
2015-01-14 02	3.21, 12.16, 1.38, 4133.00
2015-01-14 03	3.62, 13.36, 1.43, 2973.00
2015-01-14 04	4.54, 16.15, 1.94, 2739.00
2015-01-14 05	4.28, 14.86, 2.13, 4486.00
2015-01-14 06	3.13, 11.89, 1.64, 12082.00
2015-01-14 07	2.63, 11.28, 1.55, 22311.00
2015-01-14 08	2.33, 11.48, 1.62, 26221.00
2015-01-14 09	2.31, 11.54, 1.65, 24625.00
2015-01-14 10	2.41, 11.72, 1.60, 21281.00
2015-01-14 11	2.55, 12.29, 1.65, 21003.00
2015-01-14 12	2.48, 12.14, 1.56, 21599.00
2015-01-14 13	2.68, 12.36, 1.65, 21099.00
2015-01-14 14	2.76, 12.70, 1.65, 22582.00
2015-01-14 15	2.80, 12.71, 1.65, 21613.00
2015-01-14 16	2.89, 12.69, 1.73, 17849.00
2015-01-14 17	2.55, 11.85, 1.67, 22232.00
2015-01-14 18	2.39, 11.21, 1.62, 28517.00
2015-01-14 19	2.45, 10.86, 1.61, 29482.00
2015-01-14 20	2.78, 11.50, 1.73, 27266.00
2015-01-14 21	3.01, 11.99, 1.85, 27429.00
2015-01-14 22	3.11, 12.26, 1.84, 25341.00
2015-01-14 23	3.33, 12.84, 1.85, 18217.00
2015-01-15 00	3.28, 12.63, 1.69, 11389.00
2015-01-15 01	3.35, 12.58, 1.59, 6785.00
2015-01-15 02	3.31, 12.37, 1.43, 4246.00
2015-01-15 03	3.63, 13.60, 1.52, 2901.00
