0	0.00, 24.00
2016-01-14 15	753.82, 1084.00
2016-01-14 16	771.19, 1568.00
2016-01-14 17	984.93, 2550.00
2016-01-14 18	718.67, 2604.00
2016-01-14 19	735.88, 1652.00
2016-01-14 20	702.32, 1050.00
2016-01-14 21	810.73, 754.00
2016-01-14 22	684.26, 529.00
2016-01-14 23	831.03, 343.00
2016-01-15 00	571.81, 181.00
2016-01-15 01	590.19, 105.00
2016-01-15 02	1264.51, 47.00
2016-01-15 03	559.80, 30.00
2016-01-15 04	14938.15, 53.00
2016-01-15 05	777.82, 195.00
2016-01-15 06	569.49, 744.00
2016-01-15 07	668.37, 1609.00
2016-01-15 08	707.94, 3145.00
2016-01-15 09	773.92, 2291.00
2016-01-15 10	758.56, 1194.00
2016-01-15 11	691.03, 1058.00
2016-01-15 12	719.06, 1305.00
2016-01-15 13	1879.52, 1402.00
2016-01-15 14	761.06, 1552.00
2016-01-15 15	766.67, 1689.00
2016-01-15 16	814.26, 2139.00
2016-01-15 17	961.03, 2918.00
2016-01-15 18	766.83, 2613.00
2016-01-15 19	750.28, 1627.00
2016-01-15 20	842.21, 1028.00
2016-01-15 21	767.42, 575.00
2016-01-15 22	856.05, 555.00
2016-01-15 23	2091.29, 380.00
2016-01-16 00	1142.52, 309.00
2016-01-16 01	936.79, 123.00
2016-01-16 02	449.33, 24.00
2016-01-16 03	548.53, 32.00
2016-01-16 04	430.87, 30.00
2016-01-16 05	703.89, 28.00
2016-01-16 06	668.92, 60.00
2016-01-16 07	713.32, 144.00
2016-01-16 08	620.30, 403.00
2016-01-16 09	695.04, 730.00
2016-01-16 10	747.61, 1033.00
2016-01-16 11	1009.06, 1383.00
2016-01-16 12	1061.80, 1697.00
2016-01-16 13	943.47, 1973.00
2016-01-16 14	1326.57, 1903.00
2016-01-16 15	1054.76, 1944.00
2016-01-16 16	1209.06, 1828.00
2016-01-16 17	1030.37, 1375.00
2016-01-16 18	863.70, 1062.00
2016-01-16 19	1213.94, 949.00
2016-01-16 20	981.26, 706.00
2016-01-16 21	1016.38, 523.00
2016-01-16 22	788.42, 504.00
2016-01-16 23	756.25, 415.00
2016-01-17 00	635.74, 349.00
2016-01-17 01	674.36, 203.00
2016-01-17 02	841.77, 151.00
2016-01-17 03	2091.76, 100.00
2016-01-17 04	656.62, 47.00
2016-01-17 05	566.67, 33.00
2016-01-17 06	609.80, 79.00
2016-01-17 07	816.66, 163.00
2016-01-17 08	711.80, 408.00
2016-01-17 09	750.21, 612.00
2016-01-17 10	1157.30, 997.00
2016-01-17 11	819.35, 1196.00
2016-01-17 12	859.39, 1370.00
2016-01-17 13	1230.17, 1300.00
2016-01-17 14	853.09, 1242.00
2016-01-17 15	1186.42, 981.00
2016-01-17 16	1254.92, 588.00
2016-01-17 17	1360.57, 407.00
2016-01-17 18	664.01, 385.00
2016-01-17 19	990.41, 348.00
2016-01-17 20	780.42, 326.00
2016-01-17 21	1594.05, 273.00
2016-01-17 22	895.00, 264.00
2016-01-17 23	840.12, 202.00
2016-01-18 00	497.80, 133.00
2016-01-18 01	511.85, 91.00
2016-01-18 02	1294.49, 37.00
2016-01-18 03	606.12, 26.00
2016-01-18 04	657.42, 36.00
2016-01-18 05	567.55, 66.00
2016-01-18 06	532.11, 195.00
2016-01-18 07	1319.95, 335.00
2016-01-18 08	636.69, 732.00
2016-01-18 09	881.26, 781.00
2016-01-18 10	887.07, 704.00
2016-01-18 11	602.69, 776.00
2016-01-18 12	750.58, 896.00
2016-01-18 13	736.73, 878.00
2016-01-18 14	938.19, 982.00
2016-01-18 15	931.89, 918.00
2016-01-18 16	646.18, 952.00
2016-01-18 17	584.21, 1081.00
2016-01-18 18	657.85, 1069.00
2016-01-18 19	739.21, 801.00
2016-01-18 20	660.28, 482.00
2016-01-18 21	842.83, 351.00
2016-01-18 22	613.50, 249.00
2016-01-18 23	562.22, 147.00
2016-01-19 00	853.54, 72.00
2016-01-19 01	590.33, 24.00
2016-01-19 02	636.07, 14.00
2016-01-19 03	403.64, 14.00
2016-01-19 04	524.74, 31.00
2016-01-19 05	528.49, 153.00
2016-01-19 06	558.07, 507.00
2016-01-19 07	715.29, 1067.00
2016-01-19 08	655.55, 1882.00
2016-01-19 09	683.04, 1405.00
2016-01-19 10	565.87, 637.00
2016-01-19 11	619.83, 583.00
2016-01-19 12	648.89, 628.00
2016-01-19 13	1065.44, 634.00
2016-01-19 14	626.18, 699.00
2016-01-19 15	664.52, 800.00
2016-01-19 16	615.79, 1111.00
2016-01-19 17	696.23, 1919.00
2016-01-19 18	637.40, 1870.00
2016-01-19 19	715.37, 1298.00
2016-01-19 20	557.50, 813.00
2016-01-19 21	701.07, 589.00
2016-01-19 22	781.24, 335.00
2016-01-19 23	554.60, 196.00
2016-01-20 00	537.85, 93.00
2016-01-20 01	551.39, 51.00
2016-01-20 02	489.65, 17.00
2016-01-20 03	2577.70, 10.00
2016-01-20 04	570.95, 37.00
2016-01-20 05	535.81, 189.00
2016-01-20 06	693.17, 739.00
2016-01-20 07	614.62, 1422.00
2016-01-20 08	677.93, 2764.00
2016-01-20 09	661.73, 1850.00
2016-01-20 10	829.79, 952.00
2016-01-20 11	663.92, 784.00
2016-01-20 12	673.36, 899.00
2016-01-20 13	858.43, 920.00
2016-01-20 14	1887.72, 1012.00
2016-01-20 15	655.88, 1155.00
2016-01-20 16	659.47, 1430.00
2016-01-20 17	692.96, 2499.00
2016-01-20 18	723.20, 2465.00
2016-01-20 19	706.20, 1684.00
2016-01-20 20	633.27, 1033.00
2016-01-20 21	557.44, 665.00
2016-01-20 22	1413.29, 489.00
2016-01-20 23	714.15, 261.00
2016-01-21 00	567.91, 137.00
2016-01-21 01	556.43, 65.00
2016-01-21 02	1647.22, 27.00
2016-01-21 03	593.76, 25.00
2016-01-21 04	524.70, 43.00
2016-01-21 05	545.63, 193.00
2016-01-21 06	540.55, 767.00
2016-01-21 07	814.05, 1484.00
2016-01-21 08	727.64, 2820.00
2016-01-21 09	646.17, 1964.00
2016-01-21 10	625.51, 959.00
2016-01-21 11	694.65, 873.00
2016-01-21 12	689.46, 908.00
2016-01-21 13	709.64, 987.00
2016-01-21 14	649.52, 1112.00
2016-01-21 15	1565.51, 1195.00
2016-01-21 16	672.94, 1431.00
2016-01-21 17	757.53, 2464.00
2016-01-21 18	1113.98, 2337.00
2016-01-21 19	1437.76, 1556.00
2016-01-21 20	583.86, 973.00
2016-01-21 21	587.96, 639.00
2016-01-21 22	579.87, 436.00
2016-01-21 23	823.72, 277.00
2016-01-22 00	529.12, 161.00
2016-01-22 01	527.59, 81.00
2016-01-22 02	1092.18, 38.00
2016-01-22 03	511.09, 22.00
2016-01-22 04	853.97, 38.00
2016-01-22 05	562.76, 169.00
2016-01-22 06	547.11, 662.00
2016-01-22 07	602.96, 1276.00
2016-01-22 08	640.07, 2481.00
2016-01-22 09	883.29, 1792.00
2016-01-22 10	683.41, 896.00
2016-01-22 11	661.21, 796.00
2016-01-22 12	933.66, 953.00
2016-01-22 13	648.98, 1017.00
2016-01-22 14	1091.27, 1145.00
2016-01-22 15	652.90, 1217.00
2016-01-22 16	989.59, 1513.00
2016-01-22 17	1333.74, 2233.00
2016-01-22 18	636.29, 1822.00
2016-01-22 19	1378.58, 1146.00
2016-01-22 20	1949.47, 669.00
2016-01-22 21	575.40, 482.00
2016-01-22 22	1791.98, 280.00
2016-01-22 23	629.93, 61.00
2016-01-27 04	475.33, 3.00
2016-01-27 05	639.78, 46.00
2016-01-27 06	667.74, 202.00
2016-01-27 07	841.48, 388.00
2016-01-27 08	878.99, 778.00
2016-01-27 09	791.55, 547.00
