2014-01-07 14	2.49, 11.44, 1.23, 23401.00
2014-01-07 15	2.52, 11.47, 1.24, 24223.00
2014-01-07 16	2.64, 11.49, 1.32, 20358.00
2014-01-07 17	2.43, 10.99, 1.34, 25013.00
2014-01-07 18	2.36, 10.77, 1.37, 31507.00
2014-01-07 19	2.49, 10.71, 1.42, 31022.00
2014-01-07 20	2.67, 10.95, 1.49, 27917.00
2014-01-07 21	2.93, 11.68, 1.59, 26673.00
2014-01-07 22	3.10, 12.09, 1.62, 22959.00
2014-01-07 23	3.40, 12.81, 1.58, 16127.00
2014-01-08 00	3.69, 13.57, 1.64, 9894.00
2014-01-08 01	3.63, 13.55, 1.55, 5662.00
2014-01-08 02	3.57, 13.23, 1.41, 3629.00
2014-01-08 03	3.88, 14.10, 1.35, 2437.00
2014-01-08 04	4.77, 16.60, 1.67, 2412.00
2014-01-08 05	3.67, 13.17, 1.56, 4128.00
2014-01-08 06	2.86, 10.98, 1.30, 12403.00
2014-01-08 07	2.53, 10.80, 1.29, 23656.00
2014-01-08 08	2.27, 11.03, 1.40, 29502.00
2014-01-08 09	2.18, 10.82, 1.37, 27715.00
2014-01-08 10	2.37, 11.41, 1.33, 23628.00
2014-01-08 11	2.27, 11.30, 1.29, 22668.00
2014-01-08 12	2.30, 11.41, 1.26, 23715.00
2014-01-08 13	2.49, 11.73, 1.27, 22731.00
2014-01-08 14	2.59, 11.95, 1.33, 24335.00
2014-01-08 15	2.48, 11.51, 1.27, 24377.00
2014-01-08 16	2.59, 11.54, 1.35, 19774.00
2014-01-08 17	2.52, 11.43, 1.37, 24603.00
2014-01-08 18	2.37, 10.97, 1.38, 31090.00
2014-01-08 19	2.44, 10.68, 1.41, 32231.00
2014-01-08 20	2.63, 10.92, 1.48, 29856.00
2014-01-08 21	2.91, 11.62, 1.61, 28627.00
2014-01-08 22	3.09, 12.14, 1.64, 26079.00
2014-01-08 23	3.25, 12.48, 1.63, 18449.00
2014-01-09 00	3.54, 13.19, 1.65, 12381.00
2014-01-09 01	3.58, 13.31, 1.52, 7392.00
2014-01-09 02	3.42, 12.88, 1.33, 4672.00
2014-01-09 03	3.58, 13.29, 1.28, 3182.00
2014-01-09 04	4.38, 15.38, 1.60, 2835.00
2014-01-09 05	4.12, 14.36, 1.72, 4189.00
2014-01-09 06	3.01, 11.46, 1.35, 12215.00
2014-01-09 07	2.52, 10.81, 1.30, 23379.00
2014-01-09 08	2.31, 11.07, 1.40, 28664.00
2014-01-09 09	2.24, 11.24, 1.40, 26531.00
2014-01-09 10	2.36, 11.63, 1.36, 22496.00
2014-01-09 11	2.34, 11.55, 1.31, 21551.00
2014-01-09 12	2.40, 11.62, 1.35, 22725.00
2014-01-09 13	2.65, 12.23, 1.40, 21996.00
2014-01-09 14	2.70, 12.34, 1.40, 23919.00
2014-01-09 15	2.77, 12.52, 1.42, 23532.00
2014-01-09 16	2.78, 12.12, 1.45, 18554.00
2014-01-09 17	2.62, 11.84, 1.45, 23137.00
2014-01-09 18	2.41, 11.18, 1.43, 30459.00
2014-01-09 19	2.46, 11.13, 1.45, 32099.00
2014-01-09 20	2.74, 11.37, 1.53, 30733.00
2014-01-09 21	3.01, 11.97, 1.63, 30451.00
2014-01-09 22	3.08, 12.31, 1.64, 28931.00
2014-01-09 23	3.12, 12.32, 1.62, 23684.00
2014-01-10 00	3.31, 12.72, 1.60, 16876.00
2014-01-10 01	3.31, 12.67, 1.51, 10607.00
2014-01-10 02	3.30, 12.67, 1.37, 6967.00
2014-01-10 03	3.53, 13.28, 1.29, 4774.00
2014-01-10 04	4.23, 15.13, 1.50, 4013.00
2014-01-10 05	4.48, 15.37, 1.87, 4526.00
2014-01-10 06	3.15, 11.80, 1.43, 11744.00
2014-01-10 07	2.64, 11.23, 1.37, 22338.00
2014-01-10 08	2.35, 11.54, 1.44, 27310.00
2014-01-10 09	2.16, 11.64, 1.45, 26141.00
2014-01-10 10	2.28, 11.87, 1.38, 23198.00
2014-01-10 11	2.36, 11.67, 1.31, 22118.00
2014-01-10 12	2.48, 11.74, 1.34, 22521.00
2014-01-10 13	2.69, 12.15, 1.33, 23046.00
2014-01-10 14	2.65, 12.26, 1.37, 25242.00
2014-01-10 15	2.65, 12.20, 1.35, 23100.00
2014-01-10 16	2.75, 12.18, 1.44, 18294.00
2014-01-10 17	2.60, 11.98, 1.45, 23495.00
2014-01-10 18	2.44, 11.34, 1.44, 30512.00
2014-01-10 19	2.44, 11.10, 1.45, 34070.00
2014-01-10 20	2.57, 11.15, 1.45, 32414.00
2014-01-10 21	2.76, 11.49, 1.46, 30650.00
2014-01-10 22	2.89, 11.79, 1.46, 31488.00
2014-01-10 23	2.89, 11.84, 1.45, 32282.00
2014-01-11 00	2.99, 12.02, 1.51, 28766.00
2014-01-11 01	3.03, 11.98, 1.49, 24570.00
2014-01-11 02	3.05, 11.95, 1.45, 20828.00
2014-01-11 03	3.27, 12.52, 1.45, 14668.00
2014-01-11 04	3.70, 13.60, 1.37, 9265.00
2014-01-11 05	4.63, 16.56, 1.74, 4475.00
2014-01-11 06	4.54, 15.88, 1.74, 4756.00
2014-01-11 07	3.67, 13.33, 1.52, 7191.00
2014-01-11 08	2.99, 11.53, 1.28, 10790.00
2014-01-11 09	2.43, 10.11, 1.11, 16232.00
2014-01-11 10	2.42, 10.15, 1.12, 20110.00
2014-01-11 11	2.35, 10.23, 1.12, 22020.00
2014-01-11 12	2.32, 10.34, 1.11, 25615.00
2014-01-11 13	2.31, 10.42, 1.12, 25520.00
2014-01-11 14	2.47, 10.78, 1.16, 23612.00
