00	954.00, 270249.00
2010-01-12 13	33.00, 3.00
2010-01-12 14	42.00, 3.00
2010-01-12 15	12.00, 3.00
2010-01-12 16	23.00, 4.00
2010-01-12 17	26.00, 0.00
2010-01-12 18	25.00, 0.00
2010-01-12 19	17.00, 0.00
2010-01-12 20	17.00, 2.00
2010-01-12 21	22.00, 0.00
2010-01-12 22	7.00, 1.00
2010-01-12 23	5.00, 0.00
2010-01-13 00	5.00, 0.00
2010-01-13 01	10.00, 0.00
2010-01-13 02	3.00, 0.00
2010-01-13 03	6.00, 0.00
2010-01-13 04	5.00, 0.00
2010-01-13 05	2.00, 0.00
2010-01-13 06	2.00, 0.00
2010-01-13 07	6.00, 0.00
2010-01-13 08	12.00, 0.00
2010-01-13 09	40.00, 0.00
2010-01-13 10	85.00, 0.00
2010-01-13 11	49.00, 0.00
2010-01-13 12	329.00, 9.00
2010-01-13 13	38.00, 6.00
2010-01-13 14	21.00, 1.00
2010-01-13 15	28.00, 1.00
2010-01-13 16	27.00, 2.00
2010-01-13 17	16.00, 1.00
2010-01-13 18	17.00, 2.00
2010-01-13 19	18.00, 0.00
2010-01-13 20	20.00, 0.00
2010-01-13 21	12.00, 3.00
2010-01-13 22	10.00, 1.00
2010-01-13 23	9.00, 0.00
2010-01-14 00	8.00, 0.00
2010-01-14 01	12.00, 0.00
2010-01-14 02	5.00, 0.00
2010-01-14 03	7.00, 0.00
2010-01-14 04	7.00, 0.00
2010-01-14 05	5.00, 0.00
2010-01-14 06	5.00, 0.00
2010-01-14 07	9.00, 0.00
2010-01-14 08	14.00, 0.00
2010-01-14 09	24.00, 0.00
2010-01-14 10	20.00, 0.00
2010-01-14 11	34.00, 0.00
2010-01-14 12	280.00, 29.00
2010-01-14 13	38.00, 4.00
2010-01-14 14	31.00, 4.00
2010-01-14 15	28.00, 4.00
2010-01-14 16	20.00, 2.00
2010-01-14 17	19.00, 1.00
2010-01-14 18	20.00, 2.00
2010-01-14 19	18.00, 0.00
2010-01-14 20	15.00, 0.00
2010-01-14 21	20.00, 1.00
2010-01-14 22	12.00, 3.00
2010-01-14 23	16.00, 0.00
2010-01-15 00	8.00, 0.00
2010-01-15 01	3.00, 0.00
2010-01-15 02	7.00, 0.00
2010-01-15 03	7.00, 0.00
2010-01-15 04	3.00, 0.00
2010-01-15 05	3.00, 0.00
2010-01-15 06	6.00, 0.00
2010-01-15 07	9.00, 0.00
2010-01-15 08	16.00, 0.00
2010-01-15 09	62.00, 0.00
2010-01-15 10	66.00, 0.00
2010-01-15 11	32.00, 0.00
2010-01-15 12	345.00, 17.00
2010-01-15 13	34.00, 4.00
2010-01-15 14	40.00, 3.00
2010-01-15 15	31.00, 3.00
2010-01-15 16	20.00, 1.00
2010-01-15 17	11.00, 1.00
2010-01-15 18	10.00, 0.00
2010-01-15 19	14.00, 0.00
2010-01-15 20	14.00, 0.00
2010-01-15 21	23.00, 0.00
2010-01-15 22	14.00, 0.00
2010-01-15 23	5.00, 1.00
2010-01-16 00	4.00, 0.00
2010-01-16 01	4.00, 0.00
2010-01-16 02	4.00, 0.00
2010-01-16 04	1.00, 0.00
2010-01-16 05	3.00, 0.00
2010-01-16 06	3.00, 0.00
2010-01-16 07	3.00, 0.00
2010-01-16 08	8.00, 0.00
2010-01-16 09	13.00, 0.00
2010-01-16 10	11.00, 0.00
2010-01-16 11	15.00, 0.00
2010-01-16 12	394.00, 8.00
2010-01-16 13	14.00, 3.00
2010-01-16 14	17.00, 2.00
2010-01-16 15	12.00, 4.00
2010-01-16 16	11.00, 3.00
2010-01-16 17	17.00, 0.00
2010-01-16 18	11.00, 1.00
2010-01-16 19	10.00, 0.00
2010-01-16 20	9.00, 0.00
2010-01-16 21	5.00, 1.00
2010-01-16 22	5.00, 0.00
2010-01-16 23	6.00, 0.00
2010-01-17 01	1.00, 0.00
2010-01-17 03	1.00, 0.00
2010-01-17 04	2.00, 0.00
2010-01-17 05	3.00, 0.00
2010-01-17 08	6.00, 0.00
2010-01-17 09	15.00, 0.00
2010-01-17 10	14.00, 0.00
2010-01-17 11	14.00, 0.00
2010-01-17 12	18.00, 2.00
2010-01-17 13	12.00, 1.00
2010-01-17 14	9.00, 3.00
2010-01-17 15	2.00, 0.00
2010-01-17 16	5.00, 0.00
2010-01-17 17	8.00, 1.00
2010-01-17 18	7.00, 0.00
2010-01-17 19	4.00, 0.00
2010-01-17 20	5.00, 0.00
2010-01-17 21	7.00, 2.00
2010-01-17 22	1.00, 0.00
2010-01-17 23	2.00, 1.00
2010-01-18 00	7.00, 0.00
2010-01-18 01	4.00, 0.00
2010-01-18 02	5.00, 0.00
2010-01-18 03	1.00, 0.00
2010-01-18 04	3.00, 0.00
2010-01-18 05	2.00, 0.00
2010-01-18 06	1.00, 0.00
2010-01-18 07	2.00, 0.00
2010-01-18 08	8.00, 0.00
2010-01-18 09	21.00, 0.00
2010-01-18 10	15.00, 0.00
2010-01-18 11	17.00, 0.00
2010-01-18 12	20.00, 15.00
2010-01-18 13	19.00, 0.00
2010-01-18 14	15.00, 5.00
2010-01-18 15	8.00, 1.00
2010-01-18 16	13.00, 1.00
2010-01-18 17	9.00, 1.00
2010-01-18 18	15.00, 2.00
2010-01-18 19	8.00, 0.00
2010-01-18 20	3.00, 0.00
2010-01-18 21	8.00, 1.00
2010-01-18 22	5.00, 0.00
2010-01-18 23	2.00, 0.00
2010-01-19 00	3.00, 0.00
2010-01-19 01	5.00, 0.00
2010-01-19 02	4.00, 0.00
2010-01-19 03	3.00, 0.00
2010-01-19 04	4.00, 0.00
2010-01-19 05	4.00, 0.00
2010-01-19 06	7.00, 0.00
2010-01-19 07	8.00, 0.00
2010-01-19 08	22.00, 0.00
2010-01-19 09	31.00, 0.00
2010-01-19 10	47.00, 0.00
2010-01-19 11	37.00, 0.00
2010-01-19 12	473.00, 22.00
2010-01-19 13	38.00, 2.00
2010-01-19 14	51.00, 2.00
2010-01-19 15	43.00, 3.00
2010-01-19 16	21.00, 3.00
2010-01-19 17	15.00, 4.00
2010-01-19 18	14.00, 3.00
2010-01-19 19	13.00, 0.00
2010-01-19 20	17.00, 1.00
2010-01-19 21	7.00, 1.00
2010-01-19 22	11.00, 3.00
2010-01-19 23	8.00, 2.00
2010-01-20 00	9.00, 0.00
2010-01-20 01	12.00, 0.00
